citacao;ocorrencias;qtd_skills;skills
LEI 8213/1991;942;146;admissibilidade-barreiras-crps, analise-bpc-loas, analise-documental-incapacidade, aposentadoria-deficiencia, aposentadoria-idade-hibrida, aposentadoria-professor-rgps, auditoria-laudo-pericial, auxilio-acidente-b94, auxilio-reclusao-previdenciario, base-acumulacao-beneficios-ec103-art24, base-aluno-aprendiz, base-analise-decisao-tres-eixos, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-regra-permanente-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-comprometimento-renda, base
EC 103/2019;365;66;aposentadoria-deficiencia, aposentadoria-idade-hibrida, aposentadoria-professor-rgps, auditoria-ppp, auxilio-reclusao-previdenciario, base-acumulacao-beneficios-ec103-art24, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-bpc-loas-requisitos, base-calculo-rmi-ec103, base-cnis-acerto-indicadores, base-contagem-reciproca-rgps-rpps, base-contribuinte-em-dobro-lops-art9, base-desaposentacao-reaposentacao, base-documentos-comprobatorios-in128, base-erro-administrativo-iea-13975, base-especial-ruido, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-in
IN 128/2022;347;89;admissibilidade-barreiras-crps, aposentadoria-deficiencia, aposentadoria-idade-hibrida, aposentadoria-professor-rgps, auditoria-ppp, auxilio-acidente-b94, auxilio-reclusao-previdenciario, base-aluno-aprendiz, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-calculo-rmi-ec103, base-carencia-por-especie-art27a, base-cnis-acerto-indicadores, base-contagem-reciproca-rgps-rpps, base-contribuinte-em-dobro-lops-art9, base-cpc-fato-superveniente-art493, base-crps-panorama-geral, base-desaposentacao-reaposentacao, base-documentos-comprobatorios-in128, base-erro-administrativo-iea-13975, base-especial-agentes-biologicos, base-especial-agentes-quimicos, base-especial-c
DECRETO 3048;329;91;admissibilidade-barreiras-crps, analise-documental-incapacidade, aposentadoria-deficiencia, aposentadoria-idade-hibrida, aposentadoria-professor-rgps, auditoria-ppp, auxilio-acidente-b94, auxilio-reclusao-previdenciario, base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-regra-permanente-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-carencia-por-especie-art27a, base-contribuinte-em-dobro-lops-art9, base-cpc-fato-superveniente-art493, base-crps-panorama-geral, base-desaposentacao-reaposentacao, base-devolucao-valores-irrepetib
LC 142/2013;184;40;analise-bpc-loas, aposentadoria-deficiencia, auxilio-acidente-b94, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-documentos-comprobatorios-in128, base-erro-administrativo-iea-13975, base-fungibilidade-previdenciaria, base-legislacao-fontes-primarias, base-modelo-relatorio-medico-aposentadoria-pcd-lc142, base-modelo-relatorio-medico-bpc-loas-deficiente, base-modelo-relatorio-medico-incapacidade-b31-b91-b92, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-pcd-conversao-tempo-especial-pcd, base-pcd-deficiencia-auditiva-visual, base-pcd-did-retroativa, base-pcd-fibromialgia-lei15176, base-pcd-if-bra-metodologia,
TEMA 1124/STJ;138;60;admissibilidade-barreiras-crps, analise-documental-incapacidade, aposentadoria-idade-hibrida, aposentadoria-professor-rgps, auditoria-ppp, auxilio-reclusao-previdenciario, base-aluno-aprendiz, base-analise-contestacao-inss, base-aposentadoria-direito-adquirido, base-aposentadoria-transicao-ec103, base-bpc-aposentadoria-pcd-procedimentos, base-contagem-reciproca-rgps-rpps, base-cpc-tutela-provisoria-previdenciaria, base-crps-panorama-geral, base-documentos-comprobatorios-in128, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-fungibilidade-previdenciaria, base-jef-trf3-manual-2025, base-ms-cabimento-direito-liquido-certo, base-peticao-previdenciaria-padrao-visual, base-planejamento-previdenciario, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinc
LEI 13146/2015;112;33;analise-bpc-loas, aposentadoria-deficiencia, auditoria-laudo-pericial, base-aposentadoria-pcd-lc142, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-comprometimento-renda, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-pbf-anuencia-in54-2026, base-cadastro-domiciliar-cadunico-in21-2026, base-canais-falabr-corregedoria-cgu, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-legislacao-fontes-primarias, base-modelo-relatorio-medico-aposentadoria-pcd-lc142, base-modelo-relatorio-medico-bpc-loas-deficiente, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-pcd-deficiencia-auditiva-visual, base-pcd-if-bra-metodologia, base-pericia-medica-federal-telepericia, base-pfe-inss-anpd-dpu-conade, bas
LEI 13846/2019;110;25;auxilio-acidente-b94, auxilio-reclusao-previdenciario, base-acumulacao-beneficios-ec103-art24, base-aposentadoria-regra-permanente-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-carencia-por-especie-art27a, base-incapacidade-b31-temporaria, base-legislacao-fontes-primarias, base-pensao-por-morte-pos-reforma, base-pensao-por-morte-uniao-estavel-prova, base-pericia-medica-federal-telepericia, base-portarias-dpmf-inss-hub, base-precedentes-catalogo-vinculantes, base-recurso-crps-peca-enxuta, base-revisao-atividades-concomitantes-tema1070, base-revisao-peticao-aprofundada, base-segurado-especial-autodeclaracao-arts-92-93-94, base-termo-inicial-dib-por-especie, base-tru-trf3-sumulas-jurisprudencia, carta-servicos-inss, decadencia-revisao-previdenciaria, im
TEMA 350/STF;107;37;admissibilidade-barreiras-crps, auxilio-reclusao-previdenciario, base-aluno-aprendiz, base-analise-contestacao-inss, base-aposentadoria-direito-adquirido, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-bpc-aposentadoria-pcd-procedimentos, base-calculo-rmi-ec103, base-canais-falabr-corregedoria-cgu, base-contagem-reciproca-rgps-rpps, base-cpc-fato-superveniente-art493, base-efeito-translativo-tema-1124-defesa, base-erro-administrativo-iea-13975, base-fungibilidade-previdenciaria, base-incapacidade-b31-temporaria, base-incapacidade-b91-permanente, base-jef-previdenciario, base-mpf-pfdc-prm-defesa-segurado, base-notificacao-extrajudicial-mapeamento-institucional, base-pericia-medica-federal-telepericia, base-planejame
TEMA 995/STJ;98;45;base-aposentadoria-direito-adquirido, base-aposentadoria-especial-transicao-ec103, base-aposentadoria-pcd-lc142, base-aposentadoria-regra-permanente-ec103, base-aposentadoria-transicao-ec103, base-auxilio-acidente-b94-pos-reforma, base-auxilio-reclusao-pos-reforma, base-b94-anexo-iii-quadros, base-b94-cessacao-acumulacao-vedacao, base-b94-integracao-salario-beneficio-tema862, base-b94-nexo-acidentario-ntep, base-b94-sequela-minima-tema201, base-bpc-aposentadoria-pcd-procedimentos, base-bpc-impedimento-longo-prazo, base-bpc-loas-requisitos, base-bpc-renda-per-capita-miserabilidade, base-cpc-fato-superveniente-art493, base-cpc-honorarios-sucumbencia-previdenciaria, base-desaposentacao-reaposentacao, base-fungibilidade-previdenciaria, base-incapacidade-acidentaria-b92, base-incapacidade-b31-t
